geographic_unit_full_name,geographic_unit_name,unit_type,fnid,classification_scale,is_allowing_for_assistance,projection_start,projection_end,value,description,dataseries_name,reporting_date,year,month,quarter,month_sin,month_cos,quarter_sin,quarter_cos,lag_1,lag_2,lag_3,lag_6,rolling_mean_3,rolling_mean_6,rolling_std_3,rolling_std_6,rolling_min_3,rolling_min_6,rolling_max_3,rolling_max_6,difference,pct_change,expanding_mean
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2013-01-01,2013-01-31,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2013-01-01,2013,1,1,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2013-04-01,2013-04-30,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2013-04-01,2013,4,2,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2013-07-01,2013-07-31,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2013-07-01,2013,7,3,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2013-10-01,2013-10-31,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2013-10-01,2013,10,4,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2014-01-01,2014-01-31,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2014-01-01,2014,1,1,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2014-04-01,2014-04-30,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2014-04-01,2014,4,2,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2014-07-01,2014-07-31,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2014-07-01,2014,7,3,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2014-10-01,2014-10-31,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2014-10-01,2014,10,4,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2015-01-01,2015-01-31,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2015-01-01,2015,1,1,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2015-04-01,2015-04-30,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2015-04-01,2015,4,2,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2015-07-01,2015-07-31,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2015-07-01,2015,7,3,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2015-10-01,2015-10-31,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2015-10-01,2015,10,4,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2016-02-01,2016-02-29,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2016-02-01,2016,2,1,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
"Aberdare Forest1, Murang'a, Central, Kenya",Aberdare Forest1,fsc_admin,KE2011C1480401,IPC 2.0,False,2013-01-01,2013-01-31,1.0,Minimal,"Aberdare Forest1, Murang'a, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2013-01-01,2013,1,1,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
