location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,provider_admin1_code,provider_admin2_code,aggregation_period,rainfall,rainfall_long_term_average,rainfall_anomaly_pct,number_pixels,version,reference_period_start,reference_period_end
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,5.5690866,15.759407,50.912273,427,final,2022-01-01,2022-01-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,80.14285,66.389694,119.264915,427,final,2022-01-01,2022-01-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,279.41217,346.43607,80.928566,427,final,2022-01-01,2022-01-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,26.772833,19.29477,130.78055,427,final,2022-01-11,2022-01-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,75.57143,62.209213,119.88152,427,final,2022-01-11,2022-01-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,275.4333,328.69415,84.03902,427,final,2022-01-11,2022-01-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,8.17096,16.265417,61.936058,427,final,2022-01-21,2022-01-31
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,40.51288,51.319595,80.8118,427,final,2022-01-21,2022-01-31
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,249.1569,292.37277,85.467445,427,final,2022-01-21,2022-01-31
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,10.555036,12.719282,87.78593,427,final,2022-02-01,2022-02-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,45.49883,48.27947,94.78103,427,final,2022-02-01,2022-02-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,237.61359,245.9968,96.660034,427,final,2022-02-01,2022-02-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,8.59719,18.768618,57.206482,427,final,2022-02-11,2022-02-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,27.323185,47.75332,61.272324,427,final,2022-02-11,2022-02-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,219.07727,206.9961,105.69878,427,final,2022-02-11,2022-02-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,27.38876,11.827791,192.47183,427,final,2022-02-21,2022-02-28
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,46.540985,43.315693,106.67546,427,final,2022-02-21,2022-02-28
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,194.85011,171.64575,113.1361,427,final,2022-02-21,2022-02-28
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,10.028103,29.22014,43.91596,427,final,2022-03-01,2022-03-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,46.014053,59.81655,78.705284,427,final,2022-03-01,2022-03-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,171.65575,174.48572,98.423294,427,final,2022-03-01,2022-03-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,8.311476,28.629663,39.582546,427,final,2022-03-11,2022-03-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,45.72834,69.6776,67.9298,427,final,2022-03-11,2022-03-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,148.62296,179.64012,83.20129,427,final,2022-03-11,2022-03-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,31.81499,41.624825,78.96005,427,final,2022-03-21,2022-03-31
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,50.154568,99.47463,52.792305,427,final,2022-03-21,2022-03-31
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,137.20844,194.10991,71.42207,427,final,2022-03-21,2022-03-31
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,25.517565,73.95238,38.65313,427,final,2022-04-01,2022-04-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,65.64403,144.20686,47.346367,427,final,2022-04-01,2022-04-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,157.1569,252.30289,63.021797,427,final,2022-04-01,2022-04-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,72.99297,71.15941,102.40754,427,final,2022-04-11,2022-04-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,130.32553,186.73662,70.578865,427,final,2022-04-11,2022-04-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,203.37704,304.16754,67.39939,427,final,2022-04-11,2022-04-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,96.025764,84.53724,112.83101,427,final,2022-04-21,2022-04-30
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,194.5363,229.64902,85.03607,427,final,2022-04-21,2022-04-30
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,291.23184,372.43936,78.48462,427,final,2022-04-21,2022-04-30
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,18.704918,68.00289,32.471203,427,final,2022-05-01,2022-05-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,187.72366,223.69952,84.26937,427,final,2022-05-01,2022-05-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,299.38174,427.72296,70.34102,427,final,2022-05-01,2022-05-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,21.868853,59.47049,41.6762,427,final,2022-05-11,2022-05-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,136.59953,212.01062,65.250046,427,final,2022-05-11,2022-05-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,312.6534,468.42484,67.09691,427,final,2022-05-11,2022-05-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,37.644028,44.92303,85.41955,427,final,2022-05-21,2022-05-31
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,78.2178,172.39641,46.910645,427,final,2022-05-21,2022-05-31
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,322.9087,501.52005,64.73755,427,final,2022-05-21,2022-05-31
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,9.105387,23.011553,50.355606,427,final,2022-06-01,2022-06-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,68.61826,127.405075,55.600784,427,final,2022-06-01,2022-06-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,321.98593,495.3115,65.35647,427,final,2022-06-01,2022-06-10
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,9.592505,17.591335,64.593376,427,final,2022-06-11,2022-06-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,56.34192,85.52592,67.76172,427,final,2022-06-11,2022-06-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,323.26697,484.27316,67.09278,427,final,2022-06-11,2022-06-20
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,dekad,9.421546,15.58993,70.04175,427,final,2022-06-21,2022-06-30
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,1-month,28.119438,56.192818,54.12308,427,final,2022-06-21,2022-06-30
KEN,False,True,Not provided,,KE019,Nyeri,,,1,51325,,3-month,300.8735,458.23825,66.02941,427,final,2022-06-21,2022-06-30
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,2.174059,7.4911294,57.43323,2683,final,2022-01-01,2022-01-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,145.60603,59.5509,233.31358,2683,final,2022-01-01,2022-01-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,259.84534,261.0552,99.54526,2683,final,2022-01-01,2022-01-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,4.251584,6.561026,80.0239,2683,final,2022-01-11,2022-01-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,107.10846,37.986458,260.79947,2683,final,2022-01-11,2022-01-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,256.363,251.001,102.09452,2683,final,2022-01-11,2022-01-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,5.927693,5.193676,107.20071,2683,final,2022-01-21,2022-01-31
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,12.353336,19.24583,71.57246,2683,final,2022-01-21,2022-01-31
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,253.72493,231.2925,109.49349,2683,final,2022-01-21,2022-01-31
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,3.477078,2.8149958,108.47194,2683,final,2022-02-01,2022-02-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,13.656355,14.569698,95.33287,2683,final,2022-02-01,2022-02-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,248.61497,192.68275,128.29393,2683,final,2022-02-01,2022-02-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,4.831532,3.856218,111.01274,2683,final,2022-02-11,2022-02-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,14.236303,11.86489,114.06123,2683,final,2022-02-11,2022-02-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,239.63249,153.65451,154.19196,2683,final,2022-02-11,2022-02-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,5.762579,3.9475214,120.28559,2683,final,2022-02-21,2022-02-28
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,14.071189,10.618735,122.104576,2683,final,2022-02-21,2022-02-28
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,209.49644,116.72285,176.21707,2683,final,2022-02-21,2022-02-28
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,4.6884084,16.674295,44.69999,2683,final,2022-03-01,2022-03-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,15.282518,24.478035,68.80553,2683,final,2022-03-01,2022-03-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,174.5449,98.59863,173.30818,2683,final,2022-03-01,2022-03-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,3.9109206,18.846241,37.36824,2683,final,2022-03-11,2022-03-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,14.361908,39.46806,43.541157,2683,final,2022-03-11,2022-03-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,135.70668,89.319405,149.18106,2683,final,2022-03-11,2022-03-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,11.913529,27.05182,52.769325,2683,final,2022-03-21,2022-03-31
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,20.51286,62.572357,37.756355,2683,final,2022-03-21,2022-03-31
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,46.93738,92.43692,53.303593,2683,final,2022-03-21,2022-03-31
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,13.450615,37.758926,43.150322,2683,final,2022-04-01,2022-04-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,29.275064,83.65699,38.660305,2683,final,2022-04-01,2022-04-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,58.213936,122.70472,49.500076,2683,final,2022-04-01,2022-04-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,33.176296,31.903492,103.44901,2683,final,2022-04-11,2022-04-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,58.54044,96.71424,62.46956,2683,final,2022-04-11,2022-04-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,87.13866,148.04718,60.202778,2683,final,2022-04-11,2022-04-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,26.790533,30.68001,89.09901,2683,final,2022-04-21,2022-04-30
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,73.41744,100.34243,74.440506,2683,final,2022-04-21,2022-04-30
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,108.001495,173.53352,63.294273,2683,final,2022-04-21,2022-04-30
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,50.754753,36.091488,135.68443,2683,final,2022-05-01,2022-05-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,110.72158,98.67499,111.61958,2683,final,2022-05-01,2022-05-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,155.27917,206.81001,75.671196,2683,final,2022-05-01,2022-05-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,11.688409,27.098808,51.99074,2683,final,2022-05-11,2022-05-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,89.233696,93.87031,95.31041,2683,final,2022-05-11,2022-05-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,162.13605,230.0526,71.105804,2683,final,2022-05-11,2022-05-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,11.1967945,29.28601,47.240242,2683,final,2022-05-21,2022-05-31
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,73.63995,92.47631,80.675964,2683,final,2022-05-21,2022-05-31
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,167.57027,255.3911,66.27348,2683,final,2022-05-21,2022-05-31
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,15.071189,13.345248,109.408104,2683,final,2022-06-01,2022-06-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,37.956394,69.730064,57.482075,2683,final,2022-06-01,2022-06-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,177.95303,252.06204,71.17077,2683,final,2022-06-01,2022-06-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,9.852404,11.749894,88.67163,2683,final,2022-06-11,2022-06-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,36.120384,54.381153,69.24821,2683,final,2022-06-11,2022-06-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,183.89452,244.9657,75.56818,2683,final,2022-06-11,2022-06-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,13.833395,14.324338,97.459465,2683,final,2022-06-21,2022-06-30
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,38.75699,39.41948,98.50856,2683,final,2022-06-21,2022-06-30
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,185.81438,232.23822,80.43155,2683,final,2022-06-21,2022-06-30
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,dekad,3.7759936,7.5103774,70.149704,4982,final,2022-01-01,2022-01-10
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,1-month,88.93497,47.14009,180.15881,4982,final,2022-01-01,2022-01-10
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,3-month,196.48798,228.81207,86.17518,4982,final,2022-01-01,2022-01-10
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,dekad,10.424528,6.098374,138.98007,4982,final,2022-01-11,2022-01-20
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,1-month,76.066444,33.022984,213.20378,4982,final,2022-01-11,2022-01-20
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,3-month,198.65556,219.88042,90.561714,4982,final,2022-01-11,2022-01-20
KEN,False,True,Not provided,,KE010,Marsabit,,,1,51327,,dekad,3.9134886,5.649371,83.69967,4982,final,2022-01-21,2022-01-31
