geographic_unit_full_name,geographic_unit_name,unit_type,fnid,classification_scale,is_allowing_for_assistance,projection_start,projection_end,value,description,dataseries_name,reporting_date
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2011-07-01,2011-07-31,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2011-07-01
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2011-10-01,2011-10-31,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2011-10-01
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2012-01-01,2012-01-31,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2012-01-01
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2012-04-01,2012-04-30,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2012-04-01
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2012-07-01,2012-07-31,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2012-07-01
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2012-10-01,2012-10-31,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2012-10-01
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2013-01-01,2013-01-31,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2013-01-01
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2013-04-01,2013-04-30,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2013-04-01
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2013-07-01,2013-07-31,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2013-07-01
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2013-10-01,2013-10-31,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2013-10-01
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2014-01-01,2014-01-31,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2014-01-01
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2014-04-01,2014-04-30,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2014-04-01
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2014-07-01,2014-07-31,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2014-07-01
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2014-10-01,2014-10-31,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2014-10-01
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2015-01-01,2015-01-31,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2015-01-01
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2015-04-01,2015-04-30,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2015-04-01
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2015-07-01,2015-07-31,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2015-07-01
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2015-10-01,2015-10-31,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2015-10-01
"Aberdare Forest, Nyeri, Central, Kenya",Aberdare Forest,fsc_admin,KE2011C1480601,IPC 2.0,False,2016-02-01,2016-02-29,1.0,Minimal,"Aberdare Forest, Nyeri, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2016-02-01
"Aberdare Forest1, Murang'a, Central, Kenya",Aberdare Forest1,fsc_admin,KE2011C1480401,IPC 2.0,False,2011-07-01,2011-07-31,1.0,Minimal,"Aberdare Forest1, Murang'a, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2011-07-01
"Aberdare Forest1, Murang'a, Central, Kenya",Aberdare Forest1,fsc_admin,KE2011C1480401,IPC 2.0,False,2011-10-01,2011-10-31,1.0,Minimal,"Aberdare Forest1, Murang'a, Central, Kenya (01/01/2011 - 12/31/2013): IPC 2.0: Current Situation: Not allowing for assistance",2011-10-01
